"pr","zo","period","startweek","endweek"
"AB",1,1,1,3
"AB",1,2,4,4
"AB",1,3,5,5
"AB",1,4,6,6
"AB",1,5,7,8
"AB",1,6,9,10
"AB",1,7,11,24
"AB",2,1,1,2
"AB",2,2,3,3
"AB",2,3,4,4
"AB",2,4,5,5
"AB",2,5,6,6
"AB",2,6,7,23
"BC",1,1,1,3
"BC",1,2,4,5
"BC",1,3,6,6
"BC",1,4,7,7
"BC",1,5,8,9
"BC",1,6,10,12
"BC",1,7,13,24
"BC",2,1,1,2
"BC",2,2,3,6
"BC",2,3,7,7
"BC",2,4,8,9
"BC",2,5,10,11
"BC",2,6,12,14
"BC",2,7,15,19
"BC",2,8,20,30
"MB",1,1,1,3
"MB",1,2,4,4
"MB",1,3,5,5
"MB",1,4,6,6
"MB",1,5,7,7
"MB",1,6,8,26
"MB",2,1,1,2
"MB",2,2,3,3
"MB",2,3,4,4
"MB",2,4,5,5
"MB",2,5,6,6
"MB",2,6,7,18
"NB",1,1,1,1
"NB",1,2,2,3
"NB",1,3,4,5
"NB",1,4,6,6
"NB",1,5,7,8
"NB",1,6,9,19
"NB",2,1,1,5
"NB",2,2,6,6
"NB",2,3,7,7
"NB",2,4,8,8
"NB",2,5,9,10
"NB",2,6,11,22
"NF",1,1,1,3
"NF",1,2,4,4
"NF",1,3,5,5
"NF",1,4,6,6
"NF",1,5,7,8
"NF",1,6,9,20
"NF",2,1,1,1
"NF",2,2,2,2
"NF",2,3,3,3
"NF",2,4,4,4
"NF",2,5,5,13
"NS",1,1,1,6
"NS",1,2,7,9
"NS",1,3,10,12
"NS",1,4,13,15
"NS",1,5,16,17
"NS",1,6,18,18
"NS",1,7,19,23
"NS",2,1,1,5
"NS",2,2,6,6
"NS",2,3,7,7
"NS",2,4,8,9
"NS",2,5,10,11
"NS",2,6,12,13
"NS",2,7,14,20
"NT",1,1,1,2
"NT",1,2,3,5
"ON",1,1,1,2
"ON",1,2,3,4
"ON",1,3,5,5
"ON",1,4,6,6
"ON",1,5,7,8
"ON",1,6,9,11
"ON",1,7,12,26
"ON",2,1,1,2
"ON",2,2,3,4
"ON",2,3,5,5
"ON",2,4,6,6
"ON",2,5,7,8
"ON",2,6,9,30
"ON",3,1,1,1
"ON",3,2,2,2
"ON",3,3,3,3
"ON",3,4,4,4
"ON",3,5,5,5
"ON",3,6,6,20
"PE",1,1,1,5
"PE",1,2,6,6
"PE",1,3,7,7
"PE",1,4,8,8
"PE",1,5,9,10
"PE",1,6,11,12
"PE",1,7,13,19
"PQ",1,1,1,4
"PQ",1,2,5,5
"PQ",1,3,6,6
"PQ",1,4,7,7
"PQ",1,5,8,8
"PQ",1,6,9,10
"PQ",1,7,11,30
"PQ",2,1,1,3
"PQ",2,2,4,4
"PQ",2,3,5,5
"PQ",2,4,6,6
"PQ",2,5,7,7
"PQ",2,6,8,26
"SK",1,1,1,3
"SK",1,2,4,4
"SK",1,3,5,5
"SK",1,4,6,6
"SK",1,5,7,7
"SK",1,6,8,8
"SK",1,7,9,23
"SK",2,1,1,2
"SK",2,2,3,3
"SK",2,3,4,4
"SK",2,4,5,5
"SK",2,5,6,6
"SK",2,6,7,18
"SK",3,1,1,3
"SK",3,2,4,4
"SK",3,3,5,5
"SK",3,4,6,6
"SK",3,5,7,7
"SK",3,6,8,8
"SK",3,7,9,24
"YT",1,1,1,1
"YT",1,2,2,2
"YT",1,3,3,3
"YT",1,4,4,8
